"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"5","Null model",1,72.4990927775008,0,1,0.667538587897149,-35.2495463887504,0.667538587897149
"3","Experience",2,74.3790590764487,1.87996629894788,0.390634417698499,0.260763547574481,-35.1895295382244,0.928302135471631
"4","Ecosystem",6,78.3372871388238,5.838194361323,0.0539824016630728,0.0360353361774643,-33.1686435694119,0.964337471649095
"1","Experience * Ecosystem",12,79.3515535269582,6.85246074945741,0.0325092578031442,0.0217011840474953,-27.6757767634791,0.98603865569659
"2","Experience + Ecosystem",7,80.2337023948676,7.73460961736677,0.0209146625476593,0.0139613443034099,-33.1168511974338,1
